header;type;optional;format;change;sfactor;avg;std;max;min;isnumber;distinctvalues
MG 2;string;y;;0,400937082;498,3333333;498,3333333;367,5199163;;;0;3
MG 3;string;y;;0,400937082;498,3333333;498,3333333;367,5199163;;;0;0
MG 4;string;y;;0,400937082;498,3333333;498,3333333;367,5199163;;;0;0
MG 5;string;y;;0,435742972;299;299;307,3167747;;;0;5
Reasn;string;y;;0,033467202;747,5;747,5;656,5;;;0;2
S;string;y;;0,228246319;747,5;747,5;51,5;;;0;2
Credit price;number;n;#,##0.00;;;81,52916388;67,13877425;309,52;-112,91;1;395
Credit active;string;y;;0,000669344;747,5;747,5;380,5;;;0;2
MPr;string;y;;0,269745649;747,5;747,5;101,5;;;0;2
PrCat;string;y;;0,210174029;373,75;373,75;149,8171803;;;0;4
Cost Est No;string;y;;0,61914324;1,982758621;1,982758621;26,96772744;;;0;754
Costing Variant;string;y;;0,230923695;747,5;747,5;5,5;;;0;2
Tax amount;number;n;#,##0.00;;;1166,305706;7775,036606;213334,8;-174,25;1;775
Distance;number;y;#,##0.000;;;7,156630769;10,83947301;144,152;0;1;304
Dis;string;y;;0,218875502;498,3333333;498,3333333;384,3655667;;;0;3
Order Reason;string;y;;0,030120482;498,3333333;498,3333333;462,1055675;;;0;3
Supplying plant;string;y;;0,09103079;20,2027027;20,2027027;130,1629934;;;0;74
Minimum Quantity;number;y;#,##0.000;;;5,148830769;18,35309528;195;0;1;112
Maximum Quantity;number;y;#,##0.000;;;5,483383278;19,55495878;205;0;1;112
Max load size;number;y;#,##0.000;;;2,915919732;6,565279302;32;0;1;10
Min load size;number;y;#,##0.000;;;0,222742475;0,416226077;1;0;1;2
First Load;date;y;YYYY-MM-dd;;;2,83378;3,736857;41653;41334;1;101
