Delivery;Created by;Time;Created on;SDst;ShPt;Sorg;DlvTy;Pl GI date;Loadg Date;TrpPlanDt;Deliv Date;Pick Date;IncoT;Route;DocCa;FacCal;DPrio;SC;Ship-to;Sold-to pt;Total Weight;Net weight;WUn;NoPk;At;Billing Date;Route;Curr;Soff;Combination criteria for delivery;Changed by;Chngd on;CCAr;Cred acct;Cred;Credrepgrp;Risk category;Doc Date;AcGI date;Net value;Pick time;TP Time;Loadg Time;GI Time;Distance;Dis;Veh Plate No;Gross Weight GVM;Tare Weight;TareCompl;Weighcomp;Time Ticket Printed;User Name;Weigh Bridge Number;Terminal;Driver;NAWI Serial Number;Confirm
10000;Baker.Dawn;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB5588;J;GB;3;07;0286760321;1153462471;0,619;0,619;TO;51;01:00:00;2128-01-10;GB5588;US;;0560;Puckett.Ron;2128-03-04;GB00;;M58;;GBA;;;58,68;01:00:00;01:00:00;01:00:00;01:00:00;;;psttcyhx;-48,718;12,070;;;01:00:00;O'neal.Caleb;3;0A4B3516;Holcomb.Hunter;;7372557
10000;Baker.Dawn;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB6995;J;GB;3;07;0286760321;1153462471;0,334;0,334;KG;51;01:00:00;2128-01-10;GB6995;GBP;;0680;Sykes.Jenna;2128-01-10;GB00;;M58;;GBA;;;45,84;01:00:00;01:00:00;01:00:00;01:00:00;;;morjioel;15,764;5,647;;;01:00:00;Pierce.Carolyn;3;;Bird.Kaylee;;2566890
10000;Baker.Dawn;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB6995;J;GB;3;07;0286760321;1153462471;0,687;0,687;KG;51;01:00:00;2128-01-10;GB6995;GBP;;0680;Ratliff.Chuck;2128-02-01;GB00;;M58;;GBA;;;91,68;01:00:00;01:00:00;01:00:00;01:00:00;;;aducwjwz;24,084;-6,027;;;01:00:00;Galloway.Roger;11;;Schmidt.Vernon;396629;0
10000;Bennett.Savannah;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;CFR;GB0054;J;GB;3;07;0286760321;1153462471;430.100,000;430.100,000;KG;51;01:00:00;2128-01-10;GB0054;EUR;;0870;Ratliff.Chuck;2128-01-30;GB00;;M58;;GBA;;;45,84;01:00:00;01:00:00;01:00:00;01:00:00;;;rteeyyyg;47,303;8,378;;;01:00:00;Lambert.Leonard;3;0A4B8731;Carpenter.Jean;119169;7739418
10000;Bennett.Savannah;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB4364;J;GB;3;07;0834211687;1153462471;360.624,000;360.624,000;TO;51;01:00:00;2128-01-10;GB4364;GBP;;0460;Ratliff.Chuck;2128-01-10;GB00;;M58;;GBA;;;63,26;01:00:00;01:00:00;01:00:00;01:00:00;;;dmvychir;76,917;-24,095;;;01:00:00;Lambert.Leonard;3;0A4B5501;Carpenter.Jean;;5785631
10000;Bennett.Savannah;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9530;J;GB;3;07;0834211687;1153462471;334,000;334,000;TO;51;01:00:00;2128-01-10;GB9530;US;;0030;Callahan.Tashia;2128-02-29;GB00;;M58;;GBA;;;233.055,24;01:00:00;01:00:00;01:00:00;01:00:00;;;eqjebmfw;0,796;20,784;;;01:00:00;Santiago.Teresa;3;;Guy.Derrick;;0745828
10000;Bennett.Savannah;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;CFR;GB8831;J;GB;3;07;0834211687;1153462471;0,387;0,387;KG;51;01:00:00;2128-01-10;GB8831;EUR;;0030;Armstrong.Trey;2128-01-27;GB00;;M58;;GBA;;;47.766,93;01:00:00;01:00:00;01:00:00;01:00:00;;;urexymqc;65,973;-12,669;;;01:00:00;Santiago.Teresa;11;0A4B3956;McFarland.Mary;;0
10000;Doyle.Albert;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;2070646744;1153462471;0,293;0,293;TO;51;01:00:00;2128-01-10;GB0346;US;;0030;Armstrong.Trey;2128-01-23;GB00;;M58;;GBA;;;453.203,28;01:00:00;01:00:00;01:00:00;01:00:00;;;gbmoqwid;31,249;13,732;;;01:00:00;Clemons.Donald;3;;Lindsey.Rachel;;1906282
10000;Moore.Tonya;01:00:00;2128-01-10;GBF904;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;2070646744;1153462471;0,000;0,000;TO;51;01:00:00;2128-01-10;GB0346;US;;0240;Combs.Kenny;2128-01-10;GB00;;M58;;GBA;;;233.009,40;01:00:00;01:00:00;01:00:00;01:00:00;;;wholcuho;15,685;-2,013;;;01:00:00;Hopkins.Lloyd;11;;Baker.Dawn;;4900334
10000;Dyer.Veronica;01:00:00;2128-01-10;GBF904;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;2070646744;1153462471;0,000;0,000;TO;51;01:00:00;2128-01-10;GB0346;US;;0170;Combs.Kenny;2128-02-07;GB00;;M58;;GBA;;;116.504,70;01:00:00;01:00:00;01:00:00;01:00:00;;;pmddsluv;-22,887;4,850;;X;01:00:00;Mendez.Tim;3;;Watkins.Brandon;;8058130
10000;Dyer.Veronica;01:00:00;2128-01-10;GBF904;;;YD03;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;EXW;GB9530;J;GB;3;07;2070646744;1340299791;908,730;908,730;TO;51;01:00:00;2128-01-10;GB9530;EUR;;0560;Maxwell.Earl;2128-01-10;GB00;;M18;;GBA;;;402.649,34;01:00:00;01:00:00;01:00:00;01:00:00;;;aytyqzhf;53,427;3,164;;X;01:00:00;O'neal.Caleb;3;;Sosa.Stephen;;0
10000;Dyer.Veronica;01:00:00;2128-01-10;GBF904;;;YD03;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB3876;J;GB;3;07;2070646744;1340299791;534,947;534,947;KG;51;01:00:00;2128-01-10;GB3876;US;;0870;Maxwell.Earl;2128-01-10;GB00;;M18;;GBA;;;208.806,48;01:00:00;01:00:00;01:00:00;01:00:00;;;nqfyoblw;59,939;-5,988;;;01:00:00;O'neal.Caleb;11;;Acosta.Bryan;;3868580
10000;Dyer.Veronica;01:00:00;2128-01-10;GBF904;;;YD03;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0196;J;GB;3;07;2070646744;1323974895;0,213;0,213;TO;51;01:00:00;2128-01-10;GB0196;GBP;;0900;Burgess.Derek;2128-01-30;GB00;;M74;;GBH;;;65.872,89;01:00:00;01:00:00;01:00:00;01:00:00;;;zyjocddd;-17,021;29,704;;;01:00:00;Santiago.Teresa;3;0A4B3158;Bennett.Savannah;;0
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0054;J;GB;3;07;2070646744;1323974895;1.875,740;1.875,740;TO;51;01:00:00;2128-01-10;GB0054;EUR;;0850;Simpson.Miranda;2128-01-18;GB00;;M74;;GBA;;;285.149,54;01:00:00;01:00:00;01:00:00;01:00:00;;;ohpyxaud;-7,371;25,344;;X;01:00:00;McCall.Don;3;0A4B3371;Snow.Leslie;;7097527
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;EXW;GB9530;J;GB;3;07;2070646744;1260290990;1.078,509;1.078,509;TO;51;01:00:00;2128-01-10;GB9530;US;;0430;Pierce.Nicholas;2128-01-10;GB00;;M74;;GBH;;;406.888,39;01:00:00;01:00:00;01:00:00;01:00:00;;;lcsvmtsf;37,724;-19,315;;;01:00:00;Giles.Ian;3;;Keller.Joanne;;0
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0054;J;GB;3;07;2070646744;1260290990;1.149,237;1.149,237;KG;51;01:00:00;2128-01-10;GB0054;GBP;;0550;Pierce.Nicholas;2128-01-27;GB00;;M74;;GBC;;;332.575,42;01:00:00;01:00:00;01:00:00;01:00:00;;;dezahcmk;28,523;15,729;X;X;01:00:00;Barton.Tashia;3;;Welch.Carl;;0
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0054;J;GB;3;07;2070646744;1260290990;0,984;0,984;KG;51;01:00:00;2128-01-10;GB0054;GBP;;0480;Shepherd.Morgan;2128-02-09;GB00;;M74;;GBC;;;227.163,92;01:00:00;01:00:00;01:00:00;01:00:00;;;wnuygcwe;-19,984;-13,933;;;01:00:00;Gardner.Norma;3;;Sykes.Jenna;;7224972
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9798;J;GB;3;07;1192808822;1260290990;0,713;0,713;KG;51;01:00:00;2128-01-10;GB9798;US;;0480;Shepherd.Morgan;2128-01-14;GB00;;M74;;GBC;;;227.163,92;01:00:00;01:00:00;01:00:00;01:00:00;;;krarahoh;-27,299;-13,171;;;01:00:00;Cannon.Steven;3;0A4B2189;Mendez.Tim;132692;0
10000;Conley.Bonnie;01:00:00;2128-01-10;GBI462;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB3938;J;GB;3;07;0328177219;1327672457;0,000;0,000;TO;51;01:00:00;2128-01-10;GB3938;EUR;;0400;Shepherd.Morgan;2128-01-16;GB00;;M23;;GBC;;;114.665,87;01:00:00;01:00:00;01:00:00;01:00:00;;;bliumbhh;32,884;2,582;;;01:00:00;Burton.Arthur;3;;Huffman.Lee;;2603290
10000;Roach.Drew;01:00:00;2128-01-10;GBG894;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9809;J;GB;3;07;0328177219;1327672457;1.504,501;1.504,501;TO;51;01:00:00;2128-01-10;GB9809;EUR;;0770;Anthony.Phyllis;2128-01-17;GB00;;M23;;GBC;;;631.808,94;01:00:00;01:00:00;01:00:00;01:00:00;;;gjenpyft;43,192;6,035;;;01:00:00;Moss.Ralph;3;;Foreman.Virginia;;5267946
10000;Roach.Drew;01:00:00;2128-01-10;GBG894;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9530;J;GB;3;07;0315184644;1327672457;0,453;0,453;TO;51;01:00:00;2128-01-10;GB9530;EUR;;0770;Salas.Carolyn;2128-01-30;GB00;;M23;;GBC;;;90.142,14;01:00:00;01:00:00;01:00:00;01:00:00;;;lyyvlijv;36,904;8,377;;;01:00:00;Walters.Sandra;3;0A4B8054;Watkins.Brandon;;0
10000;Roach.Drew;01:00:00;2128-01-10;GBG894;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB3938;J;GB;3;07;0315184644;1327672457;0,001;0,001;TO;51;01:00:00;2128-01-10;GB3938;EUR;;0170;Salas.Carolyn;2128-02-10;GB00;;M23;;GBC;;;112.677,67;01:00:00;01:00:00;01:00:00;01:00:00;;;jqbhosfl;14,318;4,283;X;X;01:00:00;Gay.Alice;11;0A4B2814;Gardner.Norma;726848;0551579
10000;Roach.Drew;01:00:00;2128-01-10;GBG894;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB3938;J;GB;3;07;0315184644;1327672457;0,001;0,001;TO;51;01:00:00;2128-01-10;GB3938;EUR;;0170;Salas.Carolyn;2128-02-01;GB00;;M23;;GBC;;;112.677,67;01:00:00;01:00:00;01:00:00;01:00:00;;;dvtyjtyj;-7,895;9,280;;;01:00:00;Frost.Carol;3;0A4B7888;Whitley.Diane;;8096510
10000;Roach.Drew;01:00:00;2128-01-10;GBG894;;;YD04;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB5031;J;GB;3;07;0315184644;1327672457;0,259;0,259;KG;51;01:00:00;2128-01-10;GB5031;EUR;;0400;Holcomb.Hunter;2128-02-13;GB00;;M23;;GBC;;;43.944,29;01:00:00;01:00:00;01:00:00;01:00:00;;;mvshzrcd;22,153;7,137;X;;01:00:00;Carey.Wyatt;3;0A4B5937;Dickerson.Norma;;8717744
10000;Roach.Drew;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB8365;J;GB;3;07;1167511906;1323974895;1.360,464;1.360,464;TO;51;01:00:00;2128-01-10;GB8365;EUR;;0550;Wilder.Dorothy;2128-03-03;GB00;;M74;;GBP;;;762.006,89;01:00:00;01:00:00;01:00:00;01:00:00;;;einwpdoz;3,389;14,546;X;;01:00:00;Holcomb.Hunter;3;0A4B1126;Craig.Alice;844940;2792642
10000;Roach.Drew;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB7710;J;GB;3;07;1167511906;1831740610;0,421;0,421;TO;51;01:00:00;2128-01-10;GB7710;US;;0460;Wilder.Dorothy;2128-02-01;GB00;;M37;;GBH;;;78.875,82;01:00:00;01:00:00;01:00:00;01:00:00;;;obheomfr;-7,036;11,752;;;01:00:00;Cooley.Tia;3;0A4B8650;Blackburn.Alisha;;0630338
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0613;J;GB;3;07;1167511906;1831740610;0,327;0,327;TO;51;01:00:00;2128-01-10;GB0613;US;;0900;Wilder.Dorothy;2128-03-31;GB00;;M37;;GBH;;;78.755,20;01:00:00;01:00:00;01:00:00;01:00:00;;;mtgmiela;25,898;-7,377;;;01:00:00;Jordan.Sarah;3;;Ferrell.Christian;;0
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB2067;J;GB;3;07;0409029953;1831740610;196,331;196,331;TO;51;01:00:00;2128-01-10;GB2067;US;;0940;Wilder.Dorothy;2128-02-25;GB00;;M37;;GBH;;;157.510,40;01:00:00;01:00:00;01:00:00;01:00:00;;;xvdyjqku;11,417;-4,757;;;01:00:00;Kent.Brittany;3;;Graham.Kristina;;3983243
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9619;J;GB;3;07;0409029953;1831740610;0,380;0,380;TO;51;01:00:00;2128-01-10;GB9619;US;;0940;Wilder.Dorothy;2128-01-16;GB00;;M37;;GBH;;;78.755,20;01:00:00;01:00:00;01:00:00;01:00:00;;;paqqixhz;10,412;15,526;X;X;01:00:00;Keith.Virginia;3;0A4B8403;Lucas.Alissa;;0
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9619;J;GB;3;07;0409029953;1831740610;0,312;0,312;TO;51;01:00:00;2128-01-10;GB9619;US;;0560;Williamson.Lisa;2128-02-18;GB00;;M37;;GBH;;;78.755,20;01:00:00;01:00:00;01:00:00;01:00:00;;;bjnerglz;17,012;-10,641;;;01:00:00;Snow.Leslie;3;0A4B7674;Dyer.Veronica;697194;2130299
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9605;J;GB;3;07;0409029953;1831740610;0,000;0,000;TO;51;01:00:00;2128-01-10;GB9605;EUR;;0000;Bryant.Evelyn;2128-03-08;GB00;;M37;;GBH;;;78.755,20;01:00:00;01:00:00;01:00:00;01:00:00;;;lftiqcmk;14,905;13,633;;;01:00:00;Dodson.Angie;11;0A4B0455;Rutledge.Betty;;0
10000;Melton.Cameron;01:00:00;2128-01-10;GBB136;;;YD07;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB7710;J;GB;3;07;0409029953;1831740610;0,000;0,000;TO;51;01:00:00;2128-01-10;GB7710;GBP;;0680;Blankenship.Rhonda;2128-01-10;GB00;;M37;;GBH;;;78.755,20;01:00:00;01:00:00;01:00:00;01:00:00;;;oonahviu;33,173;-2,305;;;01:00:00;Boyle.Vicky;3;0A4B1306;Rice.Barb;;0
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB6475;J;GB;3;07;0409029953;1323974895;0,353;0,353;TO;51;01:00:00;2128-01-10;GB6475;US;;0030;Blankenship.Rhonda;2128-01-11;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;yneibcbn;-5,333;10,891;X;;01:00:00;McGowan.Herbert;3;;Cannon.Steven;;0
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;EXW;GB6475;J;GB;3;07;0201444247;1323974895;0,396;0,396;TO;51;01:00:00;2128-01-10;GB6475;US;;0520;Blankenship.Rhonda;2128-01-10;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;rrjfbiqz;2,061;-18,833;;;01:00:00;Moon.Savannah;3;0A4B2906;Dillard.Brandy;;0
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;CFR;GB4693;J;GB;3;07;0201444247;1323974895;1.021,338;1.021,338;TO;51;01:00:00;2128-01-10;GB4693;US;;0750;Blankenship.Rhonda;2128-02-23;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;injhbstn;-6,136;20,359;;;01:00:00;Thornton.Robert;11;0A4B3635;Sykes.Jenna;;6647318
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB4693;J;GB;3;07;0201444247;1323974895;881,337;881,337;TO;51;01:00:00;2128-01-10;GB4693;US;;0460;Shelton.Paige;2128-01-10;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;bgbgxbje;-11,615;-3,464;;;01:00:00;Wilder.Dorothy;3;0A4B4492;Valencia.Amber;;4628720
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;0201444247;1323974895;415.900,000;415.900,000;KG;51;01:00:00;2128-01-10;GB0346;US;;0190;Shelton.Paige;2128-02-13;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;bzqevutn;-9,881;22,344;X;;01:00:00;Mathews.Rob;11;0A4B7200;Pickett.Lacey;;6287531
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD05;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;0201444247;1323974895;350.150,000;350.150,000;KG;51;01:00:00;2128-01-10;GB0346;US;;0380;Shelton.Paige;2128-01-10;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;knxqvfhk;0,174;-2,273;X;;01:00:00;Patel.Barb;3;;Weber.Sara;606878;0
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD09;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB0346;J;GB;3;07;0201444247;1323974895;369.650,000;369.650,000;KG;51;01:00:00;2128-01-10;GB0346;US;;0040;Yang.Derrick;2128-01-10;GB00;;M74;;GBP;;;99.521,98;01:00:00;01:00:00;01:00:00;01:00:00;;;nwsixscf;38,174;2,783;X;;01:00:00;Dodson.Angie;3;0A4B9182;Hale.Eva;;3799327
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD09;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB2067;J;GB;3;07;0076523586;1323974895;0,233;0,233;KG;51;01:00:00;2128-01-10;GB2067;GBP;;0940;Hines.Judy;2128-02-05;GB00;;M74;;GBP;;;17.913,96;01:00:00;01:00:00;01:00:00;01:00:00;;;jzutmtyi;27,862;19,652;X;;01:00:00;Dodson.Angie;3;0A4B2238;Anthony.Mitchell;;5413984
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD09;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB6532;J;GB;3;07;0076523586;1327672457;0,962;0,962;KG;51;01:00:00;2128-01-10;GB6532;US;;0040;Hopper.Angel;2128-02-25;GB00;;M23;;GBP;;;198.080,68;01:00:00;01:00:00;01:00:00;01:00:00;;;lyifshay;24,947;7,242;X;;01:00:00;Moon.Savannah;3;0A4B5715;Clemons.Jeannie;;0
10000;Pennington.Joseph;01:00:00;2128-01-10;GBB136;;;YD09;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB6532;J;GB;3;07;0076523586;1327672457;0,227;0,227;KG;51;01:00:00;2128-01-10;GB6532;US;;0170;Gross.Annette;2128-01-10;GB00;;M23;;GBP;;;63,88;01:00:00;01:00:00;01:00:00;01:00:00;;;uguuiauj;14,208;20,053;;;01:00:00;Crosby.Ron;11;0A4B1896;Waller.Alice;;0
